PHY102,MTS104,EEE201,EEE202,output
70,60,47,63,54
67,70,50,60,60
57,50,45,61,50
57,45,47,28,36
61,64,52,58,60
76,73,72,60,64
68,50,45,48,50
61,53,45,32,45
57,58,61,56,70
53,65,62,58,45
57,46,45,48,50
56,56,70,61,50
73,53,60,52,60
65,73,49,60,50
56,48,63,48,35
57,65,45,56,51
61,64,45,65,56
64,65,45,68,45
60,65,60,57,50
79,77,60,58,76
50,60,63,63,54
60,64,51,60,60
80,58,45,65,67
63,54,48,60,50
75,68,75,81,58
71,53,45,56,45
72,60,45,71,73
62,63,72,60,66
60,76,76,54,68
52,54,45,46,33
56,51,46,48,34
72,55,54,70,78
65,77,87,84,93
56,62,50,56,57
70,52,45,48,50
60,50,45,53,51
67,45,46,54,50
53,48,45,48,45
62,62,54,67,64
57,61,60,60,64
64,54,45,63,50
70,72,77,68,70
0,60,45,58,48
85,72,63,70,60
63,67,60,61,50
66,64,60,55,50
51,51,45,46,36
60,66,56,81,78
68,60,64,66,39
63,67,62,66,54
60,52,51,58,56
68,72,48,51,50
61,70,45,57,37
67,68,50,54,50
55,55,45,60,32
47,45,50,45,0
67,46,52,46,52
78,62,70,47,81
65,48,54,57,45
48,54,55,46,66
68,56,54,47,64
51,50,65,25,53
61,53,66,65,71
51,57,58,73,64
68,68,70,81,76
54,50,46,23,50
61,46,50,45,0
47,45,50,45,30
48,50,51,45,32
57,46,52,48,0
68,57,66,53,65
57,41,0,0,0
72,61,58,60,79
64,56,45,46,62
62,43,52,45,47
53,47,45,47,0
73,61,75,66,87
58,62,52,50,46
53,26,50,45,47
62,45,50,45,45
68,64,50,58,55
73,80,66,55,81
56,46,57,45,41
68,55,64,45,61
73,57,58,48,67
63,60,60,60,65
61,50,50,46,45
50,65,60,55,61
48,46,58,58,68
51,61,55,46,64
48,45,45,45,17
58,55,51,28,45
71,65,56,62,70
58,48,58,22,64
46,45,45,25,37
73,66,73,68,89
75,45,62,45,75
45,48,0,50,23
55,50,37,45,55
57,47,50,46,45
71,62,64,66,81
52,53,57,60,73
48,25,50,45,0
56,46,50,55,53
57,45,45,46,0
62,60,54,45,64
64,50,45,45,45
43,25,0,0,0
54,45,45,26,36
53,51,0,46,0
81,62,62,72,74
67,45,54,48,30
58,53,56,50,45
58,46,37,45,53
62,51,63,45,66
64,57,64,68,72
72,60,64,47,53
47,55,60,54,60
72,55,54,64,46
51,51,53,23,50
48,45,60,51,60
51,57,56,47,62
55,51,50,52,86
62,34,54,45,45
62,56,51,66,52
51,61,47,56,75
73,52,64,68,82
57,64,53,66,57
51,56,57,51,70
68,58,61,53,86
73,62,82,0,0
60,70,57,64,62
55,61,54,74,48
68,54,44,52,45
67,74,75,54,48
56,72,66,60,70
83,74,73,69,62
71,71,61,52,41
51,50,45,45,0
51,51,45,35,0
60,61,24,63,47
81,76,74,90,94
71,73,70,60,61
65,63,52,51,45
74,70,64,51,63
70,71,70,57,50
74,80,53,74,64
72,71,60,82,74
63,61,55,66,74
74,72,53,54,35
70,77,75,82,77
51,61,55,60,53
66,51,45,37,0
73,62,45,47,56
66,61,54,51,70
68,62,75,74,68
78,81,76,77,85
75,76,70,70,80
53,51,51,64,58
65,61,48,50,38
76,60,64,56,61
55,50,52,50,0
62,60,45,56,31
66,72,51,41,45
63,60,51,56,0
50,51,45,46,0
57,52,61,50,57
80,81,62,81,77
51,46,41,39,33
75,74,78,78,80
77,73,73,86,85
61,50,51,53,60
68,75,80,51,81
70,73,70,65,60
64,50,46,0,25
62,62,58,50,0
66,71,64,38,52
48,61,48,57,68
79,77,84,60,74
57,61,60,54,55
78,82,83,86,80
47,46,31,53,0
67,71,61,53,47
45,45,45,43,29
85,85,75,79,86
68,71,50,56,0
72,72,70,73,87
75,75,78,84,76
68,70,63,62,58
63,60,51,50,58
75,71,65,65,52
60,61,51,0,0
70,73,72,78,65
74,72,79,79,66
63,70,45,45,0
64,71,84,82,61
45,51,48,0,0
64,61,60,68,57
56,53,62,55,56
70,61,45,64,78
0,0,36,50,0
0,0,64,60,34
0,0,45,58,50
0,0,61,60,58
0,0,60,60,50
0,0,70,68,65
0,0,70,65,45
0,0,56,65,66
0,0,66,70,50
