PHY102,MTS104,EEE201,EEE202,output
60.0,70.0,57.0,64.0,51.5
55.0,61.0,54.0,74.0,55.5
68.0,54.0,44.0,52.0,51.5
67.0,74.0,75.0,54.0,64.75
56.0,72.0,66.0,60.0,62.0
83.0,74.0,73.0,69.0,66.75
71.0,71.0,61.0,52.0,61.25
60.0,61.0,24.0,63.0,48.75
81.0,76.0,74.0,90.0,82.75
71.0,73.0,70.0,60.0,59.75
65.0,63.0,52.0,51.0,45.25
74.0,70.0,64.0,51.0,52.75
70.0,71.0,70.0,57.0,63.25
74.0,80.0,53.0,74.0,62.75
72.0,71.0,60.0,82.0,78.5
63.0,61.0,55.0,66.0,64.25
74.0,72.0,53.0,54.0,39.25
70.0,77.0,75.0,82.0,83.75
51.0,61.0,55.0,60.0,51.75
73.0,62.0,45.0,47.0,43.0
66.0,61.0,54.0,51.0,54.25
68.0,62.0,75.0,74.0,60.5
78.0,81.0,76.0,77.0,80.0
75.0,76.0,70.0,70.0,71.75
53.0,51.0,51.0,64.0,47.75
65.0,61.0,48.0,50.0,47.25
76.0,60.0,64.0,56.0,62.25
62.0,60.0,45.0,56.0,42.0
66.0,72.0,51.0,41.0,48.75
57.0,52.0,61.0,50.0,44.25
80.0,81.0,62.0,81.0,79.25
51.0,46.0,41.0,39.0,37.0
75.0,74.0,78.0,78.0,70.5
77.0,73.0,73.0,86.0,77.25
61.0,50.0,51.0,53.0,54.25
68.0,75.0,80.0,51.0,64.75
70.0,73.0,70.0,65.0,62.5
64.0,50.0,46.0,0.0,42.75
66.0,71.0,64.0,38.0,47.5
48.0,61.0,48.0,57.0,61.25
79.0,77.0,84.0,60.0,74.5
57.0,61.0,60.0,54.0,51.25
78.0,82.0,83.0,86.0,71.25
67.0,71.0,61.0,53.0,46.5
45.0,45.0,45.0,43.0,39.0
85.0,85.0,75.0,79.0,72.0
72.0,72.0,70.0,73.0,75.75
75.0,75.0,78.0,84.0,78.75
68.0,70.0,63.0,62.0,58.5
63.0,60.0,51.0,50.0,52.0
75.0,71.0,65.0,65.0,57.25
70.0,73.0,72.0,78.0,66.75
74.0,72.0,79.0,79.0,67.0
64.0,71.0,84.0,82.0,59.25
64.0,61.0,60.0,68.0,56.75
56.0,53.0,62.0,55.0,51.75
70.0,61.0,45.0,64.0,59.0
67.0,46.0,52.0,46.0,40.25
78.0,62.0,70.0,47.0,58.0
65.0,48.0,54.0,57.0,47.75
48.0,54.0,55.0,46.0,52.5
61.0,53.0,66.0,65.0,58.25
51.0,57.0,58.0,73.0,56.25
68.0,68.0,70.0,81.0,65.5
54.0,50.0,46.0,23.0,44.5
48.0,50.0,51.0,45.0,25.25
68.0,57.0,66.0,53.0,52.0
72.0,61.0,58.0,60.0,72.75
62.0,43.0,52.0,45.0,49.75
73.0,61.0,75.0,66.0,70.0
53.0,26.0,50.0,45.0,31.75
62.0,45.0,50.0,45.0,36.0
68.0,64.0,50.0,58.0,49.75
73.0,80.0,66.0,55.0,60.25
56.0,46.0,57.0,45.0,36.5
73.0,57.0,58.0,48.0,51.0
63.0,60.0,60.0,60.0,54.5
61.0,50.0,50.0,46.0,45.0
50.0,65.0,60.0,55.0,62.5
48.0,46.0,58.0,58.0,54.75
51.0,61.0,55.0,46.0,54.0
58.0,55.0,51.0,28.0,45.0
71.0,65.0,56.0,62.0,61.75
58.0,48.0,58.0,22.0,49.0
73.0,66.0,73.0,68.0,74.0
75.0,45.0,62.0,45.0,66.75
57.0,47.0,50.0,46.0,45.25
71.0,62.0,64.0,66.0,62.75
52.0,53.0,57.0,60.0,60.25
62.0,60.0,54.0,45.0,54.0
81.0,62.0,62.0,72.0,59.25
67.0,45.0,54.0,48.0,41.75
58.0,53.0,56.0,50.0,40.25
62.0,51.0,63.0,45.0,57.5
64.0,57.0,64.0,68.0,56.25
72.0,60.0,64.0,47.0,46.75
47.0,55.0,60.0,54.0,53.0
72.0,55.0,54.0,64.0,35.25
51.0,51.0,53.0,23.0,35.25
48.0,45.0,60.0,51.0,58.5
51.0,57.0,56.0,47.0,43.25
62.0,34.0,54.0,45.0,38.5
62.0,56.0,51.0,66.0,51.5
73.0,52.0,64.0,68.0,67.25
51.0,56.0,57.0,51.0,55.75
68.0,58.0,61.0,53.0,68.25
70.0,60.0,47.0,63.0,53.25
67.0,70.0,50.0,60.0,57.5
57.0,50.0,45.0,61.0,53.5
57.0,45.0,47.0,28.0,44.25
61.0,64.0,52.0,58.0,57.5
76.0,73.0,72.0,60.0,56.75
68.0,50.0,45.0,48.0,46.75
61.0,53.0,45.0,32.0,38.75
57.0,58.0,61.0,56.0,65.25
53.0,65.0,62.0,58.0,47.75
57.0,46.0,45.0,48.0,46.0
56.0,56.0,70.0,61.0,55.0
73.0,53.0,60.0,52.0,55.25
65.0,73.0,49.0,60.0,46.0
56.0,48.0,63.0,48.0,46.5
57.0,65.0,45.0,56.0,47.0
61.0,64.0,45.0,65.0,57.5
64.0,65.0,45.0,68.0,52.75
60.0,65.0,60.0,57.0,59.0
79.0,77.0,60.0,58.0,63.25
50.0,60.0,63.0,63.0,55.5
60.0,64.0,51.0,60.0,56.0
80.0,58.0,45.0,65.0,62.5
63.0,54.0,48.0,60.0,48.25
75.0,68.0,75.0,81.0,56.25
71.0,53.0,45.0,56.0,46.5
72.0,60.0,45.0,71.0,65.5
62.0,63.0,72.0,60.0,59.0
60.0,76.0,76.0,54.0,70.75
52.0,54.0,45.0,46.0,43.25
56.0,51.0,46.0,48.0,35.75
72.0,55.0,54.0,70.0,63.75
65.0,77.0,87.0,84.0,85.25
56.0,62.0,50.0,56.0,55.0
70.0,52.0,45.0,48.0,48.5
60.0,50.0,45.0,53.0,45.75
67.0,45.0,46.0,54.0,56.75
53.0,48.0,45.0,48.0,47.0
62.0,62.0,54.0,67.0,58.5
57.0,61.0,60.0,60.0,63.25
64.0,54.0,45.0,63.0,51.25
70.0,72.0,77.0,68.0,70.0
0.0,60.0,45.0,58.0,45.0
85.0,72.0,63.0,70.0,68.75
63.0,67.0,60.0,61.0,52.25
66.0,64.0,60.0,55.0,49.25
51.0,51.0,45.0,46.0,38.0
60.0,66.0,56.0,81.0,68.5
68.0,60.0,64.0,66.0,46.25
63.0,67.0,62.0,66.0,64.25
60.0,52.0,51.0,58.0,54.5
68.0,72.0,48.0,51.0,45.5
61.0,70.0,45.0,57.0,44.0
67.0,68.0,50.0,54.0,57.5
55.0,55.0,45.0,60.0,38.75
